nHbondA,nHbondD,nNH2,nAHC,nACC,nHC,nRbond,nR,nNNO2,nONO2,nNO2,nC(NO2)3,nC(NO2)2,nC(NO2),MinPartialCharge,MaxPartialCharge,MOLvolume,nH,nC,nN,nO,PBF,TPSA,ob,total energy,molecular weight,PMI3,nOCH3,nCH3,Eccentricity,PMI2,PMI1,NPR1,NPR2,ESTATE_0,ESTATE_1,ESTATE_2,ESTATE_3,ESTATE_4,ESTATE_5,ESTATE_6,ESTATE_7,ESTATE_8,ESTATE_9,ESTATE_10,ESTATE_11,ESTATE_12,ESTATE_13,ESTATE_14,ESTATE_15,ESTATE_16,ESTATE_17,ESTATE_18,ESTATE_19,ESTATE_20,ESTATE_21,ESTATE_22,ESTATE_23,ESTATE_24,ESTATE_25,ESTATE_26,ESTATE_27,ESTATE_28,ESTATE_29,ESTATE_30,ESTATE_31,ESTATE_32,ESTATE_33,ESTATE_34,ESTATE_35,ESTATE_36,ESTATE_37,ESTATE_38,ESTATE_39,ESTATE_40,ESTATE_41,ESTATE_42,ESTATE_43,ESTATE_44,ESTATE_45,ESTATE_46,ESTATE_47,ESTATE_48,ESTATE_49,ESTATE_50,ESTATE_51,ESTATE_52,ESTATE_53,ESTATE_54,ESTATE_55,ESTATE_56,ESTATE_57,ESTATE_58,ESTATE_59,ESTATE_60,ESTATE_61,ESTATE_62,ESTATE_63,ESTATE_64,ESTATE_65,ESTATE_66,ESTATE_67,ESTATE_68,ESTATE_69,MP_K,SMILES
4,0,0,0,0,0,2,2,0,0,2,0,0,2,-0.28753152,0.361897519,287.456,0,10,2,6,0.577065404,120.42,-0.493621755,114.4227248,456.836,5172.931538,0,8,0.931800029,4105.349962,5172.931538,0.362972047,0.793621553,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-8.792757937,0,0,-6.092175926,0,0,0,0,0,0,0,0,0,0,0,-2.505622323,0,0,0,47.1633053,0,0,0,34.02975781,0,0,383.15,ClC1=C(Cl)C(Cl)(\C(C1=O)=C1/C(=O)C(Cl)=C(Cl)C1(Cl)N(=O)=O)N(=O)=O
7,4,0,0,0,2,6,2,0,0,1,0,0,1,-0.395117319,0.34963936,234.304,11,9,3,7,0.877115771,153.24,-0.865483616,77.04892197,305.268,3212.152628,0,5,0.976966687,3140.880031,3212.152628,0.213391876,0.977811578,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,-0.430961829,0,0,0.716793273,-4.452477324,0,0,0,-0.84783494,0,0,0,0,0,0,0,1.775449499,0,0,0,0,0,-0.957612355,0.771574074,0,28.52303962,33.58905061,0,0,0,0,0,0,461.15,OCC1SC(C(O)C1O)N1C=C(C(=O)NC1=O)N(=O)=O
5,1,0,0,1,2,7,3,0,0,1,0,0,1,-0.373670029,0.349693365,318.696,18,17,3,6,0.940244452,111.01,-1.561519255,88.60995211,379.344,7153.508564,0,7,0.988505621,6688.52309,7153.508564,0.151184115,0.934998963,0,0,5,0,0,6,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,2,0,1,0,0,0,0,0,-0.071117221,0,0,10.17124406,-0.926735849,0,0,0,0.143342584,0,-1.246227324,0,0,0,0,0,1.880831807,0,0,0,0,0,-0.893748864,0.91085223,0,0,34.36604699,11.27095621,0,13.68202363,0,0,0,349.15,FCC1(COCC2=CC=CC=C2)CCC(O1)N1C=C(C(=O)NC1=O)N(=O)=O
6,0,0,1,0,1,5,1,0,1,0,0,0,0,-0.459998703,0.339262916,175.144,8,8,2,5,0.396112263,91.56,-1.131844184,67.7717899,212.161,2578.275072,0,2,0.99528219,2450.250071,2578.275072,0.097022485,0.950344708,0,0,2,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,-0.45068476,0,0,5.983259724,0,0,0,-0.587918556,0.290373205,0,0,0,0,0,0,0,0,0,0,0,3.721904683,0,-0.946518959,0,0,0,20.94853383,8.627567082,0,0,0,0,0,319.15,O=C(OCCON(=O)=O)C1=CN=CC=C1
10,0,0,0,0,0,11,0,0,0,6,2,0,0,-0.456288336,0.733648975,300.704,6,7,6,16,0.87087372,311.44,-0.037210684,158.462537,430.151,9392.391442,0,4,0.992209977,9266.046133,9392.391442,0.124576732,0.986548121,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,2,0,0,0,0,0,0,0,-5.347282218,0,0,0,0,0,0,-4.507664872,0,0,-8.309390744,0,0,0,0,0,0,0,0,0,0,0,-11.86316421,0,0,0,86.10001082,7.658299084,0,0,0,0,0,336.15,O=C(OCCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
10,0,0,0,1,0,12,1,0,0,6,0,2,2,-0.442013195,0.648302547,365.32,6,12,6,16,0.810168358,311.44,-0.333345433,197.5533255,528.202,11854.16151,0,4,0.974694386,10352.1914,11854.16151,0.223541616,0.873295964,0,0,2,0,0,2,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,2,0,2,0,0,0,0,0,-4.563897655,0,0,-0.196446208,0,0,0,-4.34852899,-6.153711446,0,-9.272812617,0,0,0,0,0,0,0,0,0,0,0,-11.56185667,0,0,0,88.68233434,7.913212388,0,27.54821716,0,0,0,395.05,FC(COC(=O)C1=CC(C(=O)OCC(F)(N(=O)=O)N(=O)=O)=C(C=C1N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
7,0,0,0,1,0,8,1,0,0,5,0,1,3,-0.441825498,0.648302589,273.256,4,9,5,12,0.668303042,242,-0.325712966,156.033534,393.152,5155.798273,0,2,0.964606016,4507.198853,5155.798273,0.263695342,0.874200001,0,0,1,0,0,2,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,1,0,1,0,0,0,0,0,-2.183403329,0,0,0.292248047,0,0,0,-2.116645408,-5.689679745,0,-4.527781203,0,0,0,0,0,0,0,0,0,0,0,-8.278130924,0,0,0,65.22568015,3.921839097,0,13.56894694,0,0,0,367.85,FC(COC(=O)C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
8,0,0,0,0,0,8,0,0,0,4,0,2,0,-0.437378527,0.64830726,245.8,4,6,4,12,0.777058809,225.16,-0.088402826,115.4610331,362.11,5974.471039,0,3,0.990599136,5879.608445,5974.471039,0.136796755,0.984122009,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,2,0,2,0,0,0,0,0,-4.404417832,0,0,0,0,0,0,-4.704127929,0,0,-9.024880008,0,0,0,0,0,0,0,0,0,0,0,-8.398111862,0,0,0,62.37781891,7.087571807,0,26.36308235,0,0,0,358.15,FC(COC(=O)C(=O)OCC(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
14,0,0,0,0,0,16,0,0,0,8,2,1,0,-0.418202166,0.733752275,400.44,8,9,8,22,0.925662232,416.18,0,221.5348446,580.197,17285.84538,0,4,0.988613966,16074.52538,17285.84538,0.150474006,0.929924168,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,4,0,0,0,0,0,0,0,-8.859496382,0,0,0,0,0,0,-4.845723884,0,0,-12.70813812,0,0,0,0,0,0,0,0,0,0,0,-16.45462006,0,0,0,109.8329142,15.30646824,0,0,0,0,0,426.15,O=C(OCC(COC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
12,0,0,0,0,0,14,0,2,0,6,2,0,0,-0.420362648,0.733695998,343.008,6,6,10,18,0.899320938,377.9,0.094864256,229.8113148,506.166,7886.541152,0,2,0.958061198,6777.828461,7886.541152,0.286563678,0.859417117,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,9,1,0,0,0,0,0,0,0,-7.101175123,0,0,0,0,0,0,-2.610477608,0,0,-9.073440528,0,0,0,0,0,0,0,0,0,0,-2.085109599,-16.97773963,0,0,0,98.5224972,3.737447799,0,0,0,0,0,405.15,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
