SMILES,Density
NN1N=C(N=C1C1=NC(=NN1N)N(=O)=O)N(=O)=O,1.828
O=N(=O)C1=CC(=NN1)N(=O)=O,1.857
O=N(=O)C(C1=NC(N=N#N)=NC(N=N#N)=N1)(N(=O)=O)N(=O)=O,1.862
NC(=O)NN(=O)=O,1.871
O=N(=O)N1C=CC(=N1)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.82
CN(CN1N=C(C(N)=C1N(=O)=O)N(=O)=O)N(=O)=O,1.85
NC1=C(Cl)C=C(C=C1N(=O)=O)N(=O)=O,1.868
OC(=O)CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.82
O=N(=O)N1CN([C@@H]2[C@H]1[C@@H]1[C@H]2N(CN1N(=O)=O)N(=O)=O)N(=O)=O,1.82
O=C(NN(=O)=O)OCCOC(=O)NN(=O)=O,1.82
NC1=NC(N)=C(C(N)=C1N(=O)=O)N(=O)=O,1.819
OC(=O)C1=C(NN=C1N(=O)=O)N(=O)=O,1.818
OC(C(O)C(N(=O)=O)N(=O)=O)C(N(=O)=O)N(=O)=O,1.816
O=N(=O)C12C3C4(C1C1(C2C3(C41)N(=O)=O)N(=O)=O)N(=O)=O,1.814
NC(=NN(=O)=O)C1=N(=O)ON=C1C#N,1.849
O=C1C2=CC(=CC(=C2C2=C1C=C(C=C2)N(=O)=O)N(=O)=O)N(=O)=O,1.812
O=N(=O)C1=NNC(=C1)C1=CC(=NN1)N(=O)=O,1.81
NN1N=C(N=C1N(=O)=O)N1C=NC(=N1)N(=O)=O,1.81
NC1=NN=C2N=NC(NC3=NC(=NO3)N(=O)=O)=NN12,1.81
O=N(=O)C1=NON=C1NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.81
O=N(=O)C1=NON(=O)=C1C1=NN=NN1,1.81
ClC1=CC(Cl)=C(C(Cl)=C1N(=O)=O)N(=O)=O,1.81
C[C@@]1(O)[C@@H](C(Br)=C[C@](C)(C1=O)N(=O)=O)N(=O)=O,1.81
[H][C@@]1(C(Br)=C(C)C(=O)C(=O)[C@@]1(C)O)N(=O)=O,1.81
IC1=CC=C(C=C1)N(=O)=O,1.778
NC1=NON=C1C1=N(=O)ON=C1C1=NON=C1N(=O)=O,1.808
O=N(=O)N1C[C@]2(CN(C[C@]2(C1)N(=O)=O)N(=O)=O)N(=O)=O,1.807
ClC1=CC(=CC(Cl)=C1Cl)N(=O)=O,1.807
O=N(=O)C1=C(N=N#N)C(=C(N=N#N)C(=C1N=N#N)N(=O)=O)N(=O)=O,1.805
NC(=N)NN(=O)=O,1.805
FC(CC\N=C(/Cl)C(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.803
O=N(=O)C1CC(CC(C1)N(=O)=O)N(=O)=O,1.8
O=N(=O)C1=CNN=C1C1=NN=C(O1)C1=NNC=C1N(=O)=O,1.8
O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O,1.8
O=N(=O)N1CN(CC(C1)(N(=O)=O)N(=O)=O)N(=O)=O,1.8
O=N(=O)N1C=NC(=C1)N(=O)=O,1.8
O=C(CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N=N#N,1.8
NCC(F)(N(=O)=O)N(=O)=O,1.8
O=N(=O)C1=CN(CN2C=C(C(=N2)N(=O)=O)N(=O)=O)N=C1N(=O)=O,1.763
CN(CN1N=C(C(=C1Cl)N(=O)=O)N(=O)=O)N(=O)=O,1.829
FC1(F)C(=O)NC2=CC=C(C=C12)N(=O)=O,1.84
NN1N=C(C=C1N(=O)=O)N(=O)=O,1.796
